Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Elevation (m);Highest point (m);Best 1000m (km/h);Best 1 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%)
mar. 06 juillet 2021 - 08:14;Jour 2 - Refuge du Grand Bec (2405 m) - col de la Galinette (2745 m) - Plan Fournier;13,90;07h 27m 06s;26826;1,86;645;2726;6,39;4,05;32,72;28,52;22,34;1,20;
lun. 05 juillet 2021 - 09:40;Jour 1 - Plan Fournier - Col de Leschaux (2564 m) - Refuge du Grand Bec (2405 m);12,62;06h 33m 05s;23585;1,93;1328;2591;3,99;3,22;25,76;22,76;19,66;14,22;7,21
sam. 03 juillet 2021 - 10:14;Col et Sommet de Napremont (2185m) par Pralognan-la-Vanoise;9,62;04h 47m 35s;17255;2,01;736;2148;4,26;3,87;18,08;17,52;17,14;14,65;
dim. 18 avril 2021 - 14:41;Randonnée avec Jim et Laure;11,69;02h 20m 57s;8457;4,97;87;86;5,69;5,24;3,60;2,48;1,99;0,38;0,08
dim. 14 mars 2021 - 14:25;Randonnée dans la vallée du Couesnon;11,15;02h 29m 18s;8958;4,48;228;94;5,16;4,80;10,68;8,24;4,86;0,74;0,26
dim. 14 février 2021 - 13:21;Randonnée circuit des Juteauderies avec Chrystele;10,78;02h 03m 01s;7381;5,26;72;85;6,21;5,58;4,24;2,96;1,85;0,52;0,04
dim. 07 février 2021 - 11:43;Randonnée Saint Malo - Les Nielles avec Benoit et Christelle;18,89;04h 33m 25s;16405;4,15;266;35;5,53;4,85;7,80;4,74;2,89;0,49;0,24
dim. 03 janvier 2021 - 14:25;Rando à Saint Aubin du Cormier;8,36;01h 47m 42s;6462;4,66;68;121;5,65;5,02;4,12;2,32;1,75;0,30;
dim. 12 juillet 2020 - 09:06;Pralognant - Lac de la patinoire (2510) - col de la Vanoise (2516);17,46;06h 58m 24s;25104;2,50;1154;2511;4,97;3,26;24,68;22,68;19,25;13,20;8,38
ven. 10 juillet 2020 - 10:16;Randonnée cascade des poux;4,88;01h 39m 39s;5979;2,94;230;1785;4,54;3,13;21,12;15,98;14,35;;
mer. 08 juillet 2020 - 08:20;Refuge du mont Jovet (2350) - Mont Jovet (2558) - Roc du Becoin (2594) - La Cour;12,70;06h 02m 59s;21779;2,10;462;2561;5,30;3,73;28,68;24,84;18,27;1,18;
mar. 07 juillet 2020 - 14:57;La Cour - refuge du mon Jovet (2350) - 2;1,75;48m 06s;2886;2,18;238;2339;2,56;;20,24;18,94;15,86;;
mar. 07 juillet 2020 - 13:00;La Cour - refuge du Mont Jovet (2350) - 1;2,44;01h 29m 13s;5353;1,64;489;2093;1,90;1,57;26,20;25,28;24,92;;
mar. 07 juillet 2020 - 09:38;Bozel - La Cour (1527);5,94;01h 44m 30s;6270;3,41;702;1542;6,23;3,66;23,52;20,72;19,58;13,66;
lun. 06 juillet 2020 - 13:09;Randonnée à la Tour du Merle;8,93;03h 51m 36s;13896;2,31;756;1896;4,29;3,15;41,60;37,72;24,67;10,03;
sam. 04 juillet 2020 - 14:44;Randonnée au gorges de Ballandaz;6,35;01h 47m 28s;6448;3,55;326;1108;5,07;3,60;42,04;28,12;18,56;0,52;
sam. 09 novembre 2019 - 10:17;Chemin des muletiers -Puy de Dômes;5,31;01h 22m 49s;4969;3,84;354;1437;5,85;3,76;21,00;20,40;18,09;0,41;
dim. 18 août 2019 - 07:42;2 - Refuge de la Vanoise - Bellecombe;18,30;06h 27m 18s;23238;2,84;647;2669;5,63;4,08;28,64;22,66;17,36;6,98;
sam. 17 août 2019 - 13:27;1 - Pont de Croé-Vie - Refuge de la Vanoise;5,58;02h 02m 03s;7323;2,74;419;2516;3,96;3,66;23,32;21,94;20,42;8,24;
sam. 17 août 2019 - 10:45;0 - Bellecombe - Pont de Croé-Vie;7,67;02h 10m 25s;7825;3,53;167;2380;5,18;4,10;14,64;10,08;6,98;;
mer. 14 août 2019 - 16:09;3 - Lac du Mont Cenis;1,89;20m 51s;1251;5,45;11;2089;6,15;;3,08;0,82;;;
mer. 14 août 2019 - 13:43;2 - Lac du Mont Cenis;6,08;01h 48m 48s;6528;3,35;294;2078;4,66;3,34;27,36;15,12;7,52;0,90;
mer. 14 août 2019 - 11:47;1 - Lac du Mont Cenis;3,10;01h 13m 57s;4437;2,51;201;2076;3,57;2,53;35,56;19,64;10,06;;
ven. 09 août 2019 - 17:22;3 - Col des marches - Valmeinier 1800;5,14;01h 37m 10s;5830;3,18;12;2702;4,43;3,71;3,20;0,22;;;
ven. 09 août 2019 - 12:30;2 - Passage du pic Thabor - Col des marches;10,16;04h 30m 21s;16221;2,26;477;2943;4,79;3,48;26,44;25,58;20,39;6,50;
ven. 09 août 2019 - 07:36;1 - Refuge de Terre Rouge - Pointe de Terre Rouge;8,05;04h 18m 02s;15482;1,87;889;3033;3,03;2,72;30,76;29,58;24,04;12,92;
jeu. 08 août 2019 - 13:23;0 - Valmeinier - Refuge de Terre rouge;6,61;02h 17m 39s;8259;2,88;497;2181;4,51;3,20;21,40;20,08;18,16;8,89;
lun. 05 août 2019 - 14:03;2 - Retour Lac vert Valmeinier 1800;6,49;01h 49m 34s;6574;3,55;278;2095;4,90;4,05;22,44;17,40;11,21;;
lun. 05 août 2019 - 11:25;1 - Valmeinier 1800 Lac vert;4,78;01h 19m 15s;4755;3,62;276;1986;4,54;4,01;14,16;12,56;9,69;;
mer. 19 juillet 2017 - 09:03;Lac de Bastani - Monte Renoso;10,78;06h 22m 41s;22961;1,69;791;2331;4,53;2,33;46,96;30,28;22,45;11,93;0,82
dim. 16 juillet 2017 - 08:59;I Pozzi;18,17;07h 49m 17s;28157;2,32;808;1838;5,29;3,76;17,48;14,60;12,90;8,44;5,18
jeu. 13 juillet 2017 - 09:58;Calanche de Piana;8,81;03h 47m 35s;13655;2,32;456;932;4,57;2,83;21,68;20,74;18,23;6,46;
mar. 11 juillet 2017 - 13:10;Gorges de Spelunca;8,53;04h 15m 05s;15305;2,01;569;646;5,73;2,98;28,52;23,60;17,97;7,20;
sam. 08 juillet 2017 - 10:16;Girolata - Sentier du facteur;10,99;06h 16m 44s;22604;1,75;610;275;900,00;5,91;21,72;17,60;15,33;5,49;1,03
lun. 03 juillet 2017 - 10:01;Villanova - Capo di Feno;15,61;06h 08m 34s;22114;2,54;659;270;4,68;3,62;27,68;15,12;12,19;4,50;0,66
sam. 01 juillet 2017 - 11:27;La Parata;14,65;04h 19m 07s;15547;3,39;298;82;6,69;4,99;13,36;9,38;6,95;1,51;0,81
sam. 27 mai 2017 - 10:36;Saint-Malo - Dinard;11,64;04h 54m 24s;17664;2,37;219;38;5,34;4,46;8,32;6,00;3,07;0,47;0,18
mer. 13 juillet 2016 - 10:50;Lac de Privola;13,02;05h 14m 16s;18856;2,48;697;2538;4,84;3,86;26,36;21,64;17,49;8,79;3,39
mar. 12 juillet 2016 - 11:07;Randonnée;4,39;01h 35m 15s;5715;2,77;321;850;4,43;2,71;28,00;21,60;15,48;;
dim. 10 juillet 2016 - 10:45;Lacs de Terre Rouge;8,37;04h 41m 50s;16910;1,78;552;2523;3,96;3,31;25,96;21,42;20,41;8,91;
jeu. 07 juillet 2016 - 10:58;Vallon de Roya;7,21;03h 39m 22s;13162;1,97;550;1765;4,78;3,01;31,08;21,48;15,04;2,38;
mar. 05 juillet 2016 - 10:07;Col d'Anelle (1739 m);12,17;05h 13m 54s;18834;2,33;897;1798;5,00;3,83;43,00;35,10;23,98;11,25;3,63
dim. 03 juillet 2016 - 09:45;Randonnée;7,98;04h 41m 55s;16915;1,70;782;1767;3,24;2,26;32,28;27,80;26,30;11,33;
ven. 01 juillet 2016 - 10:31;Pointe de Colombart;8,20;02h 47m 31s;10051;2,94;394;2589;4,86;3,41;16,12;11,58;8,90;1,63;
sam. 25 juillet 2015 - 08:55;Aljibe;9,92;04h 25m 30s;15930;2,24;591;1077;3,95;3,24;26,08;23,20;19,66;11,32;
jeu. 23 juillet 2015 - 09:02;Randonnée;6,14;02h 02m 59s;7379;3,00;94;155;3,92;3,26;11,20;7,38;4,09;0,19;
jeu. 16 juillet 2015 - 10:53;La garganta Verde;5,96;03h 34m 31s;12871;1,67;409;746;4,83;2,17;42,12;29,52;17,12;0,74;
dim. 12 juillet 2015 - 11:26;El Bosque - Benamahoma;10,42;05h 22m 39s;19359;1,94;268;416;4,88;3,27;17,08;10,78;8,08;3,01;0,10
mer. 08 juillet 2015 - 09:29;Pico de Mulhacen (3 482 m);12,41;05h 59m 35s;21575;2,07;766;3460;4,86;4,31;28,64;24,52;22,36;14,93;1,45
mer. 23 juillet 2014 - 09:50;Mulhacen (3 482 m);12,89;06h 12m 20s;22340;2,08;765;3460;4,57;4,11;29,20;24,16;22,30;14,36;1,62
lun. 21 juillet 2014 - 10:13;Randonnée;11,26;05h 10m 06s;18606;2,18;643;1246;4,66;3,96;37,96;23,38;18,07;8,15;1,27
jeu. 17 juillet 2014 - 09:57;Randonnée;15,58;05h 55m 37s;21337;2,63;661;1837;4,95;4,01;16,40;11,84;9,17;7,50;4,94
ven. 10 août 2012 - 10:18;Pain de Sucre (3 208 m);4,19;03h 50m 52s;13852;1,09;475;3067;2,40;1,99;36,72;28,26;19,74;;
sam. 28 juillet 2012 - 10:39;Randonnée autour de Saint Véran;7,09;02h 44m 37s;9877;2,58;385;2034;4,16;3,10;25,76;18,04;10,39;;
ven. 27 juillet 2012 - 09:51;Randonnée autour de Guillestre (la Main du Titan);7,99;03h 27m 00s;12420;2,32;303;1059;4,65;3,44;37,92;19,52;12,77;2,43;
;;=SOMME($C2:$C70);;=SOMME($E2:$E70);=MAX($F2:$F70);=MAX($G2:$G70);=MAX($H2:$H70);=MAX($I2:$I70);=MAX($J2:$J70);=MAX($K2:$K70);=MAX($L2:$L70);=MAX($M2:$M70)
